Comment,Designator,Footprint,LCSC,Quantity
2.2u,"C2,C5",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C12530,2
0.1u,C14,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663,1
10u,"C18,C4",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C15525,2
0.01u,"C3,C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1710,2
10k,"R19,R4",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C17414,2
150R,R12,R_0815_2038Metric_Pad1.20x4.05mm_HandSolder,C17471,1
1R,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17928,1
1u,"C1,C10,C11,C8",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C1848,4
10uF,"C17,C19",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C19702,2
HUSB237-AA001-DN06R,U3,DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm,C22373734,1
330k,R20,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23137,1
470k,R22,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23178,1
75k,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23242,1
4.7u,"C7,C9",C_0402_1005Metric,C23733,2
R400,"R17,R5,R6",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C247521,3
RT9742GGJ5,"U4,U5",TSOT-23-5_HandSoldering,C250547,2
100k,"R18,R21",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25741,2
10K,"R14,R23",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744,2
1k5,"R7,R8",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25867,2
2k2,R11,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25879,1
4k3,R10,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25899,1
TPS63802DLAR,U7,VREG_TPS63802DLAR,C2845237,1
2k,R9,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C4109,1
22u,"C12,C13",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C45783,2
BQ24074RGT,U1,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C54313,1
AMS1117-3.3,U9,SOT-223-3_TabPin2,C6186,1
TYPE-C 6P,J2,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,C668623,1
S9013 J3(RANGE:200-350),Q3,SOT-23_Handsoldering,C6749,1
INA219AxDCN,U6,SOT-23-8_Handsoldering,C87469,1
47u,"C15,C16",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C96123,2
DRV8833PW,U2,TSSOP-16_4.4x5mm_P0.65mm,,1
TestPoint,TP18,TestPoint_Pad_D1.0mm,,1
TestPoint,TP11,TestPoint_Pad_D1.0mm,,1
TestPoint,TP4,TestPoint_Pad_D1.0mm,,1
DRV8833PW,U8,TSSOP-16_4.4x5mm_P0.65mm,,1
1k,R13,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,,1
TestPoint,TP14,TestPoint_Pad_D1.0mm,,1
TestPoint,TP13,TestPoint_Pad_D1.0mm,,1
TestPoint,TP2,TestPoint_Pad_D1.0mm,,1
KT-0603R,D1,LED_KT-0603R,,1
TestPoint,TP6,TestPoint_Pad_D1.0mm,,1
TestPoint,TP15,TestPoint_Pad_D1.0mm,,1
TestPoint,TP9,TestPoint_Pad_D1.0mm,,1
TestPoint,TP12,TestPoint_Pad_D1.0mm,,1
TestPoint,TP16,TestPoint_Pad_D1.0mm,,1
TestPoint,TP8,TestPoint_Pad_D1.0mm,,1
KT-0603R,D2,LED_KT-0603R,,1
TestPoint,TP17,TestPoint_Pad_D1.0mm,,1
TestPoint,TP3,TestPoint_Pad_D1.0mm,,1
TestPoint,TP19,TestPoint_Pad_D1.0mm,,1
TestPoint,TP5,TestPoint_Pad_D1.0mm,,1
TestPoint,TP10,TestPoint_Pad_D1.0mm,,1
SS-12D11G3R,SW2,SW-TH_SS-12D11L3,,1
TestPoint,TP1,TestPoint_Pad_D1.0mm,,1
470nH,L1,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,,1
TestPoint,TP7,TestPoint_Pad_D1.0mm,,1
TestPoint,TP20,TestPoint_Pad_D1.0mm,,1
