Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,152.4,-52.93,0.0,top
C10,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,97.04,-62.47,90.0,top
C11,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,105.59,-64.11,90.0,top
C12,22u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,114.9575,-85.47,180.0,top
C13,22u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,107.81,-86.69,90.0,top
C14,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.81,-82.17,0.0,top
C15,47u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,117.68,-87.2725,90.0,top
C16,47u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,114.39,-87.73,90.0,top
C17,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,157.3925,-85.03,0.0,top
C18,10u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,104.27,-106.69,90.0,top
C19,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,157.42,-82.39,0.0,top
C2,2.2u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,170.644944,-99.595,180.0,top
C3,0.01u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.774944,-104.615,180.0,top
C4,10u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,170.644944,-102.015,180.0,top
C5,2.2u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,110.56,-97.88,-90.0,top
C6,0.01u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.19,-106.48,180.0,top
C7,4.7u,C_0402_1005Metric,137.69,-91.23,-90.0,top
C8,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,129.14,-94.88,0.0,top
C9,4.7u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,114.6475,-62.8,180.0,top
D1,KT-0603R,LED_KT-0603R,133.5825,-89.9,180.0,top
D2,KT-0603R,LED_KT-0603R,134.15,-87.59,0.0,top
J1,Conn_02x16_Odd_Even,PinHeader_2x16_P2.54mm_Vertical,136.33,-102.64,-90.0,top
J2,TYPE-C 6P,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,141.88,-55.95,180.0,top
J3,Conn_01x02,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,146.58,-69.42,0.0,top
L1,470nH,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,115.02,-90.85,0.0,top
Q3,S9013 J3(RANGE:200-350),SOT-23_Handsoldering,146.09,-93.5975,180.0,top
R1,75k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,157.28,-55.49,0.0,top
R10,4k3,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,136.9525,-87.47,0.0,top
R11,2k2,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,152.0,-92.57,0.0,top
R12,150R,R_0815_2038Metric_Pad1.20x4.05mm_HandSolder,144.02,-88.82,0.0,top
R13,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,150.78,-96.84,0.0,top
R14,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,137.7625,-96.72,180.0,top
R17,R400,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,107.25,-96.7,0.0,top
R18,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,109.48,-84.37,0.0,top
R19,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,99.67,-102.72,90.0,top
R2,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,135.18,-97.09,180.0,top
R20,330k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,107.57,-90.85,0.0,top
R21,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,107.25,-82.1775,90.0,top
R22,470k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,111.21,-90.86,0.0,top
R23,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,129.8,-67.3,180.0,top
R3,1R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,164.494944,-96.635,180.0,top
R4,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,167.232444,-105.935,180.0,top
R5,R400,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,123.11,-82.26,0.0,top
R6,R400,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,123.11,-85.55,0.0,top
R7,1k5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,130.86,-90.55,-90.0,top
R8,1k5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,132.5,-85.05,180.0,top
R9,2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,128.34,-91.34,180.0,top
SW2,SS-12D11G3R,SW-TH_SS-12D11L3,123.35,-59.4285,0.0,top
U1,BQ24074RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,134.9025,-93.45,180.0,top
U2,DRV8833PW,TSSOP-16_4.4x5mm_P0.65mm,164.577444,-102.32,0.0,top
U3,HUSB237-AA001-DN06R,DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm,151.8425,-57.66,0.0,top
